Curso;Cadeiras;Turno;Turma;Inscritos;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala;Lotação;Características reais da sala;Sala da aula
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;14/11/2022;Sala/anfiteatro aulas;D1.07;20.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;D1.10
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;07/11/2022;Sala/anfiteatro aulas;D1.07;52.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;C3.01
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;31/10/2022;Sala/anfiteatro aulas;D1.07;30.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;AA2.24
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;24/10/2022;Sala/anfiteatro aulas;D1.07;129.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Auditório 2
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;17/10/2022;Sala/anfiteatro aulas;D1.07;60.0;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;B3.04
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;15/12/2022;Sala de Aulas normal;C6.10;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;AA2.25
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;24/11/2022;Sala de Aulas normal;C6.10;22.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;D1.11
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;17/11/2022;Sala de Aulas normal;C6.10;50.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;C5.02
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;10/11/2022;Sala de Aulas normal;C6.10;10.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;AA3.32
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;27/10/2022;Sala de Aulas normal;C6.10;52.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;1,00E+03
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;20/10/2022;Sala de Aulas normal;C6.10;30.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;AA2.24
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;13/10/2022;Sala de Aulas normal;C6.10;10.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;D1.08
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;06/10/2022;Sala de Aulas normal;C6.10;50.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;AA2.23
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;29/09/2022;Sala de Aulas normal;C6.10;68.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;C4.07
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;22/09/2022;Sala de Aulas normal;C6.10;27.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;D1.07
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;15/09/2022;Sala/anfiteatro aulas;;12.0;;0,00E+00
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qua;13:00:00;14:30:00;14/12/2022;Sala/anfiteatro aulas;C6.10;60.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;B3.05
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qua;13:00:00;14:30:00;07/12/2022;Sala/anfiteatro aulas;C6.10;12.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;C6.06
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qua;13:00:00;14:30:00;30/11/2022;Sala/anfiteatro aulas;C6.10;50.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;AA3.23
