Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;21/10/2022;Sala/anfiteatro aulas;2,00E+05;50;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;14/10/2022;Sala/anfiteatro aulas;C7.08;16;Horário sala visível portal público, Laboratório de Electrónica
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;07/10/2022;Sala/anfiteatro aulas;Auditório 4;250;Anfiteatro aulas, Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;30/09/2022;Sala/anfiteatro aulas;AA2.23;50;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala NEE, Sala de Aulas normal
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;23/09/2022;Sala/anfiteatro aulas;AA3.40;32;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;16/09/2022;Não necessita de sala;2,00E+03;52;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;05/12/2022;Sala/anfiteatro aulas;C7.07;16;Horário sala visível portal público, Laboratório de Bases de Engenharia
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;28/11/2022;Sala/anfiteatro aulas;Balneário feminino;1;Horário sala visível portal público
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;21/11/2022;Sala/anfiteatro aulas;B2;1;Horário sala visível portal público, Átrio
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;14/11/2022;Sala/anfiteatro aulas;D1.05;30;BYOD (Bring Your Own Device), Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;07/11/2022;Sala/anfiteatro aulas;C3.02;34;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;31/10/2022;Sala/anfiteatro aulas;C3.01;52;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;24/10/2022;Sala/anfiteatro aulas;AA2.24;30;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
DF;Investimentos II;01074TP01;DFB1;3;Seg;17:30:00;19:00:00;17/10/2022;Sala/anfiteatro aulas;C4.06;70;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;05/12/2022;Sala/anfiteatro aulas;C6.09;12;Horário sala visível portal público, Laboratório de Telecomunicações
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;28/11/2022;Sala/anfiteatro aulas;C5.03;8;Horário sala visível portal público, Sala Reunião
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;21/11/2022;Sala/anfiteatro aulas;Auditório Silva Leal;54;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;14/11/2022;Sala/anfiteatro aulas;C6.01;54;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;07/11/2022;Sala/anfiteatro aulas;C5.01;60;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;31/10/2022;Sala/anfiteatro aulas;2,00E+06;50;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;24/10/2022;Sala/anfiteatro aulas;Auditório C1.04;60;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
DF;Investimentos II;01074TP01;DFB1;3;Seg;19:00:00;20:30:00;17/10/2022;Sala/anfiteatro aulas;Auditório C1.03;70;Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal, videoconferencia
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;15/12/2022;Sala de Aulas normal;C4.04;9;Horário sala visível portal público, Sala Reunião
LETI, LEI, LEI-PL;Cálculo I;03703TP02;EI-A6, EI-A5, EI-A4, EI-A3, EI-A2, EI-A1;52;Qui;14:30:00;16:00:00;24/11/2022;Sala de Aulas normal;Auditório 2;129;Anfiteatro aulas, Horário sala visível portal público, Sala Aulas Mestrado, Sala Aulas Mestrado Plus, Sala de Aulas normal
